List Sr.No.,Set No.,2022 Set,First Name,Surname,Name,Country,State Association,DOB,Age,Specialism,Batting,Bowling,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh
466,50,AL7,Dhananjaya,Lakshan,Dhananjaya Lakshan,Sri Lanka,,05-10-1998,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,1,,,,,Capped,50,,
467,50,AL7,Sisanda,Magala,Sisanda Magala,South Africa,,07-01-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,1,4,,,,Capped,50,,
468,50,AL7,Kyle,Mayers,Kyle Mayers,West Indies,,08-09-1992,29,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,10,3,2,,,Capped,50,,
469,50,AL7,Andile,Phehlukwayo,Andile Phehlukwayo,South Africa,,03-03-1996,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,4,71,35,,,Capped,50,,
470,50,AL7,Seekkuge,Prasanna,Seekkuge Prasanna,Sri Lanka,,27-06-1985,36,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,40,20,,,Capped,50,,
471,50,AL7,Raymon,Reifer,Raymon Reifer,West Indies,,11-05-1991,30,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,1,5,,,,Capped,50,,
472,51,UAL7,Amit,Ali,Amit Ali,India,TCA,28-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
473,51,UAL7,Chaitanya,Bishnoi,Chaitanya Bishnoi,India,HCA,25-08-1994,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,0,CSK,,,Uncapped,20,,
474,51,UAL7,Mayank,Dagar,Mayank Dagar,India,HPCA,11-11-1996,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,0,KXIP,,,Uncapped,20,,
475,51,UAL7,Migael,Pretorius,Migael Pretorius,South Africa,,24-03-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
476,51,UAL7,Karan,Sharma,Karan Sharma,India,UPCA,31-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
477,51,UAL7,Shivam,Sharma,Shivam Sharma,India,DDCA,09-09-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,5,KXIP,,,Uncapped,20,,
478,51,UAL7,Pratyush,Singh,Pratyush Singh,India,BICA,04-09-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,0,"CSK, DD",,,Uncapped,20,,
479,51,UAL7,Sanvir,Singh,Sanvir Singh,India,PCA,12-10-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
480,51,UAL7,Dhrushant,Soni,Dhrushant Soni,India,RSPB,09-10-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
481,51,UAL7,M,Venkatesh,M Venkatesh,India,KSCA,12-05-2000,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
482,52,UFA7,Bandaru,Ayyappa,Bandaru Ayyappa,India,ACA,27-10-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,,0,DC,,,Uncapped,20,,
483,52,UFA7,Gurnoor Singh,Brar,Gurnoor Singh Brar,India,PCA,25-05-2000,21,BOWLER,LHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
484,52,UFA7,Akash,Choudhary,Akash Choudhary,India,MECA,28-11-1999,22,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
485,52,UFA7,Baltej,Dhanda,Baltej Dhanda,India,PCA,04-11-1990,31,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
486,52,UFA7,Saurabh,Dubey,Saurabh Dubey,India,VCA,23-01-1998,24,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
487,52,UFA7,Mohit,Jangra,Mohit Jangra,India,UPCA,27-09-1999,22,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
488,52,UFA7,Aaqib,Khan,Aaqib Khan,India,UPCA,25-12-2003,18,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
489,52,UFA7,Ruben,Trumpelmann,Ruben Trumpelmann,Namibia,,01-02-1998,24,BOWLER,RHB,LEFT ARM Fast,,,,,,Associate,20,,
490,52,UFA7,Brad,Wheal,Brad Wheal,Scotland,,28-08-1996,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Associate,50,,
491,52,UFA7,Lalit,Yadav,Lalit Yadav,India,VCA,17-12-1995,26,BOWLER,RHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
492,53,UAL8,Auqib,Dar,Auqib Dar,India,JKCA,04-11-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
493,53,UAL8,Chirag,Gandhi,Chirag Gandhi,India,GUCA,18-06-1990,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
494,53,UAL8,Chris,Green,Chris Green,Australia,,01-10-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,1,KKR,,,Uncapped,40,,
495,53,UAL8,Sijomon,Joseph,Sijomon Joseph,India,KCA,28-09-1997,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
496,53,UAL8,Anirudha,Joshi,Anirudha Joshi,India,KSCA,07-11-1987,34,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,0,"RCB, RR, DC",DC,0,Uncapped,20,,
497,53,UAL8,Mohd. Arshad,Khan,Mohd. Arshad Khan,India,MPCA,20-12-1997,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
498,53,UAL8,Ansh,Patel,Ansh Patel,India,BCA,19-02-2002,20,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,,,,,,Uncapped,20,,
499,53,UAL8,Shubham,Sharma,Shubham Sharma,India,RCA,26-03-1997,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
500,53,UAL8,Shubham,Singh,Shubham Singh,India,CSCSCA,05-01-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
501,53,UAL8,K.Bhagath,Varma,K.Bhagath Varma,India,HYCA,21-09-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,0,CSK,CSK,0,Uncapped,20,,
502,54,UFA8,Arpit,Guleria,Arpit Guleria,India,HPCA,26-04-1997,24,BOWLER,RHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
503,54,UFA8,Vipul,Krishna,Vipul Krishna,India,BICA,09-02-2001,21,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
504,54,UFA8,Safvan,Patel,Safvan Patel,India,BCA,03-10-1998,23,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
505,54,UFA8,Chinntla,Readdi,Chinntla Readdi,India,HYCA,29-09-2000,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
506,54,UFA8,Manish,Reddy,Manish Reddy,India,HYCA,07-01-1999,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
507,54,UFA8,Ashok,Sharma,Ashok Sharma,India,RCA,17-06-2002,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
508,54,UFA8,Ravi,Sharma,Ravi Sharma,India,RCA,14-10-1996,25,BOWLER,RHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
509,54,UFA8,Shubham,Singh,Shubham Singh,India,JSCA,06-12-1998,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
510,55,UAL9,Corbin,Bosch,Corbin Bosch,South Africa,,10-09-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
511,55,UAL9,Nathan,McAndrew,Nathan McAndrew,Australia,,14-07-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
512,55,UAL9,Diwesh,Pathania,Diwesh Pathania,India,SSCB,22-06-1989,32,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,Uncapped,20,,
513,55,UAL9,Shubham,Ranjane,Shubham Ranjane,India,GCA,26-03-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,0,RR,,,Uncapped,20,,
514,55,UAL9,Tom,Rogers,Tom Rogers,Australia,,03-03-1994,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
515,55,UAL9,Johannes,Smit,Johannes Smit,Namibia,,10-11-1995,26,ALL-ROUNDER,RHB,LEFT ARM Medium,,,,,,Associate,20,,
516,55,UAL9,Sagar,Trivedi,Sagar Trivedi,India,CAP,20-10-1991,30,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,0,RR,,,Uncapped,20,,
517,55,UAL9,Harsh,Tyagi,Harsh Tyagi,India,RSPB,23-12-1999,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
518,55,UAL9,R.,Vivek,R. Vivek,India,TNCA,10-06-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
519,55,UAL9,R.Sonu,Yadav,R.Sonu Yadav,India,TNCA,11-11-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
520,56,UFA9,V.,Athisayaraj,V. Athisayaraj,India,TNCA,06-06-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
521,56,UFA9,Ottneil,Baartman,Ottneil Baartman,South Africa,,18-03-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
522,56,UFA9,M.B.,Darshan,M.B. Darshan,India,KSCA,19-01-1996,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
523,56,UFA9,V.,Gowtham,V. Gowtham,India,TNCA,09-07-2002,19,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
524,56,UFA9,Khwezi,Gumede,Khwezi Gumede,South Africa,,19-06-1999,22,BOWLER,RHB,LEFT ARM Fast,,,,,,Uncapped,20,,
525,56,UFA9,Liam,Guthrie,Liam Guthrie,Australia,,09-04-1997,24,BOWLER,LHB,LEFT ARM Fast,,,,,,Uncapped,20,,
526,56,UFA9,Liam,Hatcher,Liam Hatcher,Australia,,17-09-1996,25,BOWLER,RHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
527,57,UAL10,Jay,Bista,Jay Bista,India,CAU,23-12-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
528,57,UAL10,Saurav,Chuahan,Saurav Chuahan,India,GUCA,27-05-2000,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
529,57,UAL10,Tajinder,Dhillon,Tajinder Dhillon,India,RCA,25-05-1992,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,0,"MI, KXIP",,,Uncapped,20,,
530,57,UAL10,Dikshanshu,Negi,Dikshanshu Negi,India,CAU,05-10-1990,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
531,57,UAL10,Abhishek,Raut,Abhishek Raut,India,OCA,03-03-1987,35,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,22,RR,,,Uncapped,20,,
532,57,UAL10,K.V.,Sasikanth,K.V. Sasikanth,India,ACA,17-07-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
533,57,UAL10,Bharat,Sharma,Bharat Sharma,India,CAP,15-11-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
534,57,UAL10,Shivam,Sharma,Shivam Sharma,India,UPCA,14-11-1995,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,5,KXIP,,,Uncapped,20,,
535,57,UAL10,Arjun,Tendulkar,Arjun Tendulkar,India,MCA,24-09-1999,22,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,0,MI,MI,0,Uncapped,20,,
536,57,UAL10,Amit,Yadav,Amit Yadav,India,GCA,10-10-1989,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,0,KXIP,,,Uncapped,20,,
537,58,UAL11,Manoj,Bhandage,Manoj Bhandage,India,KSCA,05-10-1998,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
538,58,UAL11,Arun,Chaprana,Arun Chaprana,India,HCA,05-01-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,Uncapped,20,,
539,58,UAL11,Ajay Dev,Goud,Ajay Dev Goud,India,HYCA,15-02-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
540,58,UAL11,Divyang,Hinganekar,Divyang Hinganekar,India,MACA,14-10-1993,28,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
541,58,UAL11,Azim,Kazi,Azim Kazi,India,MACA,14-10-1993,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
542,58,UAL11,Sujit,Nayak,Sujit Nayak,India,MCA,23-06-1989,32,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
543,58,UAL11,Parth,Sahani,Parth Sahani,India,MPCA,09-03-1993,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
544,58,UAL11,Ashutosh,Sharma,Ashutosh Sharma,India,MPCA,15-09-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
545,58,UAL11,Vivrant,Sharma,Vivrant Sharma,India,JKCA,30-10-1999,22,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
546,58,UAL11,Kumar Kartikeya,Singh,Kumar Kartikeya Singh,India,MPCA,26-12-1997,24,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
547,59,UAL12,Ravi,Chauhan,Ravi Chauhan,India,SSCB,17-09-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
548,59,UAL12,Shubham,Garhwal,Shubham Garhwal,India,RCA,14-05-1995,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
549,59,UAL12,Shafiqullah,Ghafari,Shafiqullah Ghafari,Afghanistan,,08-10-2001,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
550,59,UAL12,M.,Mohammed,M. Mohammed,India,TNCA,03-12-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
551,59,UAL12,Pulkit,Narang,Pulkit Narang,India,SSCB,18-06-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
552,59,UAL12,Pradosh,Paul,Pradosh Paul,India,TNCA,21-12-2000,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
553,59,UAL12,Pushpendra Singh,Rathore,Pushpendra Singh Rathore,India,RCA,14-02-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
554,59,UAL12,Jason,Sangha,Jason Sangha,Australia,,08-09-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
555,59,UAL12,Purnank,Tyagi,Purnank Tyagi,India,UPCA,20-01-2001,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
556,59,UAL12,Samarth,Vyas,Samarth Vyas,India,SCA,28-11-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
557,60,UAL13,Duan,Jansen,Duan Jansen,South Africa,,01-05-2000,21,ALL-ROUNDER,RHB,LEFT ARM Fast,,,,,,Uncapped,20,,
558,60,UAL13,Dev,Lakra,Dev Lakra,India,DDCA,27-01-2003,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
559,60,UAL13,Ajay,Mandal,Ajay Mandal,India,CSCSCA,25-02-1996,26,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,,,,,Uncapped,20,,
560,60,UAL13,Lakhan,Raja,Lakhan Raja,India,BICA,15-10-1994,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
561,60,UAL13,Girinath,Reddy,Girinath Reddy,India,ACA,08-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
562,60,UAL13,Siddhant,Sharma,Siddhant Sharma,India,DDCA,11-12-1996,25,ALL-ROUNDER,LHB,LEFT ARM Medium,,,,,,Uncapped,20,,
563,60,UAL13,Matthew,Short,Matthew Short,Australia,,08-11-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
564,60,UAL13,Anunay,Singh,Anunay Singh,India,BICA,03-01-1993,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
565,60,UAL13,Saurin,Thakar,Saurin Thakar,India,BCA,04-10-1998,23,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
566,60,UAL13,Nyeem,Young,Nyeem Young,West Indies,,22-09-2000,21,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,Uncapped,20,,
567,61,UAL14,Yuvraj,Chaudhary,Yuvraj Chaudhary,India,UTCA,06-10-2001,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
568,61,UAL14,Khizar,Dafedar,Khizar Dafedar,India,MCA,10-10-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
569,61,UAL14,Sahil,Dhiwan,Sahil Dhiwan,India,RCA,03-07-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
570,61,UAL14,Arjit,Gupta,Arjit Gupta,India,RCA,12-09-1989,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
571,61,UAL14,Mickil,Jaiswal,Mickil Jaiswal,India,HYCA,10-05-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
572,61,UAL14,Ryan,John,Ryan John,West Indies,,25-09-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
573,61,UAL14,J.,Kousik,J. Kousik,India,TNCA,23-05-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
574,61,UAL14,Jitender,Pal,Jitender Pal,India,HCA,20-12-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
575,61,UAL14,Jonty,Sidhu,Jonty Sidhu,India,DDCA,09-12-1997,24,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
576,61,UAL14,Yashovardhan,Singh,Yashovardhan Singh,India,UPCA,21-08-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
577,61,UAL14,Beyers,Swanepoel,Beyers Swanepoel,South Africa,,06-05-1998,23,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
578,61,UAL14,Pranshu,Vijayran,Pranshu Vijayran,India,DDCA,18-11-1995,26,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
579,62,UAL15,Ishan,Afridi,Ishan Afridi,India,MPCA,15-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
580,62,UAL15,Mohammed,Afridi,Mohammed Afridi,India,HYCA,18-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
581,62,UAL15,Prerit,Agrawal,Prerit Agrawal,India,VCA,11-04-2001,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
582,62,UAL15,Aidan,Cahill,Aidan Cahill,Australia,,20-03-2003,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
583,62,UAL15,Mark,Deyal,Mark Deyal,West Indies,,07-04-1993,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
584,62,UAL15,Nidhish,Rajagopal,Nidhish Rajagopal,India,TNCA,30-01-2000,22,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
585,62,UAL15,Bavanaka,Sandeep,Bavanaka Sandeep,India,HYCA,25-04-1992,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,0,SRH,,,Uncapped,20,,
586,62,UAL15,Safyaan,Sharif,Safyaan Sharif,Scotland,,24-05-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Associate,20,,
587,62,UAL15,Henry,Shipley,Henry Shipley,New Zealand,,10-05-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
588,62,UAL15,Maxwell,Swaminathan,Maxwell Swaminathan,India,MCA,18-01-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
589,62,UAL15,Johan,Van Dyk,Johan Van Dyk,South Africa,,23-01-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
590,62,UAL15,Dunith,Wellalage,Dunith Wellalage,Sri Lanka,,09-01-2003,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
,,,,,,,,,,,,9,,,,,,,,,
